Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,1805.000000,1845.000000,1780.599976,1805.000000,1716.144043,108672
2020-02-04,1850.000000,1874.900024,1800.000000,1850.000000,1758.928955,178184
2020-02-05,1855.000000,1871.800049,1822.000000,1855.000000,1763.682617,197409
2020-02-06,1890.000000,1940.000000,1850.000000,1890.000000,1796.959839,148462
2020-02-07,1890.000000,1900.000000,1845.099976,1890.000000,1796.959839,57357
2020-02-10,1918.800049,1918.800049,1865.000000,1910.099976,1816.070313,3335
2020-02-11,1915.900024,1915.900024,1880.000000,1915.900024,1821.584717,178543
2020-02-12,1900.000000,1915.000000,1880.000000,1900.000000,1806.467407,894302
2020-02-13,1900.000000,1900.000000,1866.199951,1900.000000,1806.467407,289977
2020-02-14,1920.000000,1920.000000,1870.500000,1920.000000,1825.482910,44516
2020-02-17,1897.000000,1919.800049,1890.000000,1901.599976,1807.988647,1276
2020-02-18,1880.000000,1899.800049,1854.599976,1880.000000,1787.452026,39121
2020-02-19,1882.800049,1883.000000,1841.099976,1882.800049,1790.114136,76435
2020-02-20,1877.000000,1877.800049,1856.099976,1877.000000,1784.599731,19170
2020-02-21,1900.000000,1900.000000,1855.000000,1900.000000,1806.467407,189541
2020-02-24,1860.000000,1861.199951,1820.500000,1860.000000,1768.436523,36874
2020-02-25,1792.800049,1883.500000,1760.099976,1792.800049,1704.544678,40078
2020-02-26,1745.000000,1789.900024,1702.900024,1745.000000,1659.097778,135880
2020-02-27,1720.000000,1799.900024,1700.300049,1720.000000,1635.328491,48424
2020-02-28,1680.000000,1746.000000,1680.000000,1680.000000,1597.297485,467514
2020-03-02,1720.000000,1728.000000,1680.199951,1720.000000,1635.328491,97167
2020-03-03,1725.000000,1730.000000,1695.199951,1725.000000,1640.082275,186067
2020-03-04,1725.000000,1739.000000,1711.099976,1725.000000,1640.082275,111567
2020-03-05,1695.000000,1725.000000,1680.000000,1695.000000,1611.559082,334384
2020-03-06,1707.900024,1709.800049,1676.000000,1707.900024,1623.824097,285169
2020-03-09,1666.000000,1708.000000,1616.199951,1666.000000,1583.986694,370497
2020-03-10,1674.000000,1719.000000,1645.199951,1674.000000,1591.592896,63393
2020-03-11,1650.000000,1688.500000,1620.000000,1650.000000,1568.774414,161304
2020-03-12,1480.000000,1630.000000,1430.099976,1480.000000,1407.143066,128077
2020-03-13,1480.000000,1550.000000,1455.000000,1480.000000,1407.143066,189742
2020-03-16,1130.000000,1479.500000,1101.199951,1130.000000,1074.372803,60295
2020-03-17,1060.000000,1200.000000,1008.200012,1060.000000,1007.818665,1131398
2020-03-18,925.000000,1058.000000,810.030029,925.000000,879.464478,105803
2020-03-19,890.000000,1000.000000,890.000000,890.000000,846.187439,162951
2020-03-20,909.979980,990.000000,890.000000,909.979980,865.183777,348491
2020-03-23,860.000000,938.000000,832.000000,860.000000,817.664246,130000
2020-03-24,890.000000,940.000000,865.000000,890.000000,846.187439,1039808
2020-03-25,945.000000,990.000000,900.000000,945.000000,898.479919,772623
2020-03-26,1069.000000,1092.000000,940.000000,1069.000000,1016.375610,148963
2020-03-27,1097.000000,1099.699951,1025.000000,1097.000000,1042.997314,137915
2020-03-30,1110.000000,1150.000000,1080.000000,1110.000000,1055.357422,117756
2020-03-31,1200.000000,1240.000000,1121.000000,1200.000000,1140.926880,460616
2020-04-01,1180.000000,1199.900024,1121.099976,1180.000000,1121.911377,177977
2020-04-02,1213.099976,1259.800049,1195.000000,1213.099976,1153.381958,134402
2020-04-03,1270.099976,1299.500000,1210.000000,1270.099976,1207.575928,113299
2020-04-06,1278.000000,1320.000000,1250.199951,1278.000000,1215.087158,244928
2020-04-07,1268.400024,1345.099976,1268.400024,1268.400024,1205.959595,177247
2020-04-08,1316.000000,1316.000000,1252.099976,1316.000000,1251.216431,163199
2020-04-09,1360.000000,1365.099976,1300.099976,1360.000000,1293.050415,184673
2020-04-13,1410.000000,1414.699951,1336.599976,1410.000000,1340.588989,213995
2020-04-14,1456.300049,1480.000000,1420.000000,1456.300049,1384.609741,32605
2020-04-15,1380.000000,1446.000000,1365.000000,1380.000000,1312.065796,237047
2020-04-16,1355.000000,1381.000000,1326.000000,1355.000000,1288.296509,226110
2020-04-17,1380.000000,1420.000000,1335.000000,1380.000000,1312.065796,158683
2020-04-20,1314.800049,1380.000000,1303.000000,1314.800049,1250.075562,248094
2020-04-21,1280.000000,1310.000000,1250.000000,1280.000000,1216.988647,59572
2020-04-22,1302.000000,1318.000000,1280.000000,1302.000000,1237.905640,67076
2020-04-23,1312.000000,1320.000000,1306.000000,1312.000000,1247.413330,101785
2020-04-24,1300.000000,1350.000000,1297.000000,1300.000000,1236.004028,117758
2020-04-27,1393.199951,1444.900024,1301.000000,1393.199951,1324.615967,101977
2020-04-28,1446.000000,1450.000000,1410.000000,1446.000000,1374.816650,397172
2020-04-29,1475.000000,1528.000000,1452.099976,1475.000000,1402.389160,58056
2020-04-30,1401.099976,1474.900024,1366.000000,1401.099976,1341.494751,125054
2020-05-04,1385.000000,1400.000000,1350.000000,1385.000000,1326.079712,192019
2020-05-05,1439.800049,1448.000000,1409.000000,1439.800049,1378.548584,137641
2020-05-06,1450.000000,1475.000000,1400.000000,1450.000000,1388.314575,77990
2020-05-07,1494.900024,1494.900024,1450.000000,1494.900024,1431.304443,120046
2020-05-08,1425.000000,1490.000000,1403.699951,1425.000000,1364.378052,217077
2020-05-11,1424.500000,1461.000000,1411.000000,1424.500000,1363.899414,263823
2020-05-12,1369.900024,1424.500000,1360.099976,1369.900024,1311.622192,1529852
2020-05-13,1306.000000,1350.000000,1260.000000,1306.000000,1250.440552,479291
2020-05-14,1300.000000,1320.000000,1260.000000,1300.000000,1244.695801,44361
2020-05-15,1300.000000,1320.000000,1281.300049,1300.000000,1244.695801,135885
2020-05-18,1330.800049,1373.900024,1330.000000,1330.800049,1274.185547,122851
2020-05-19,1355.000000,1390.000000,1320.000000,1355.000000,1297.355957,166945
2020-05-20,1391.099976,1401.000000,1365.099976,1391.099976,1331.920288,79895
2020-05-22,1408.000000,1419.000000,1369.900024,1408.000000,1348.101318,76422
2020-05-25,1440.000000,1444.900024,1400.000000,1440.000000,1378.739868,40706
2020-05-26,1448.000000,1489.800049,1430.099976,1448.000000,1386.399658,200226
2020-05-27,1428.900024,1429.900024,1400.000000,1428.900024,1368.112183,200150
2020-05-28,1380.099976,1418.000000,1355.000000,1380.099976,1321.388184,27431
2020-05-29,1350.000000,1400.000000,1326.000000,1350.000000,1292.568726,342741
2020-06-01,1387.699951,1401.500000,1322.000000,1387.699951,1328.664795,137663
2020-06-02,1416.000000,1420.000000,1390.400024,1416.000000,1355.760986,49228
2020-06-03,1423.000000,1450.000000,1360.000000,1423.000000,1362.463257,318390
2020-06-04,1418.000000,1445.000000,1390.000000,1418.000000,1357.675903,142240
2020-06-05,1425.000000,1460.199951,1416.000000,1425.000000,1364.378052,127572
2020-06-08,1450.400024,1479.000000,1436.000000,1450.400024,1388.697510,121839
2020-06-09,1391.099976,1473.000000,1379.000000,1391.099976,1331.920288,183914
2020-06-10,1402.000000,1418.900024,1380.000000,1402.000000,1342.356567,26072
2020-06-11,1388.000000,1393.400024,1320.000000,1388.000000,1328.952026,190488
2020-06-12,1380.000000,1420.500000,1375.000000,1380.000000,1321.292480,363385
2020-06-15,1350.000000,1380.000000,1350.000000,1350.000000,1292.568726,236736
2020-06-16,1355.000000,1410.000000,1351.000000,1355.000000,1297.355957,72524
2020-06-17,1380.000000,1395.000000,1360.000000,1380.000000,1321.292480,69198
2020-06-18,1379.000000,1429.900024,1379.000000,1379.000000,1320.334961,295161
2020-06-19,1380.000000,1445.099976,1380.000000,1380.000000,1321.292480,1329278
2020-06-22,1440.000000,1445.000000,1390.800049,1440.000000,1378.739868,54653
2020-06-23,1480.000000,1490.000000,1420.000000,1480.000000,1417.038330,205600
2020-06-24,1446.099976,1490.000000,1446.099976,1446.099976,1384.580444,143106
2020-06-25,1490.000000,1492.000000,1449.000000,1490.000000,1426.612915,156618
2020-06-26,1460.000000,1490.000000,1450.000000,1460.000000,1397.889160,347682
2020-06-30,1490.000000,1500.000000,1461.800049,1490.000000,1426.612915,318073
2020-07-01,1490.000000,1493.000000,1469.599976,1490.000000,1426.612915,327000
2020-07-02,1550.000000,1550.000000,1490.000000,1550.000000,1484.060303,18880
2020-07-03,1590.000000,1600.000000,1570.000000,1590.000000,1522.358765,179592
2020-07-06,1620.000000,1638.000000,1585.000000,1620.000000,1551.082397,392434
2020-07-07,1605.000000,1605.000000,1575.000000,1605.000000,1536.720581,214664
2020-07-08,1550.000000,1605.000000,1540.000000,1550.000000,1484.060303,45893
2020-07-09,1519.000000,1545.000000,1462.500000,1519.000000,1454.379272,143681
2020-07-10,1510.000000,1510.000000,1450.000000,1510.000000,1445.762085,115988
2020-07-13,1531.000000,1570.000000,1519.000000,1531.000000,1465.868652,66883
2020-07-14,1499.000000,1531.000000,1490.000000,1499.000000,1435.230103,156326
2020-07-15,1460.000000,1510.000000,1400.500000,1460.000000,1397.889160,75799
2020-07-17,1450.000000,1473.800049,1430.000000,1450.000000,1388.314575,41568
2020-07-20,1361.000000,1440.000000,1360.000000,1361.000000,1303.100708,161572
2020-07-21,1320.000000,1384.000000,1311.000000,1320.000000,1263.844971,158620
2020-07-22,1370.000000,1374.000000,1310.000000,1370.000000,1311.717896,110203
2020-07-23,1375.000000,1400.000000,1350.599976,1375.000000,1316.505127,264401
2020-07-24,1390.000000,1400.000000,1382.000000,1390.000000,1330.867065,251523
2020-07-27,1389.000000,1430.000000,1368.199951,1381.400024,1322.632935,20000
2020-07-28,1374.000000,1399.900024,1350.000000,1374.000000,1315.547729,170177
2020-07-29,1335.000000,1374.199951,1335.000000,1335.000000,1278.206787,69439
2020-07-30,1280.000000,1350.000000,1270.099976,1280.000000,1225.546631,508087
2020-07-31,1295.000000,1369.900024,1285.000000,1295.000000,1239.908447,397360
2020-08-03,1321.099976,1350.000000,1310.199951,1321.099976,1264.898193,136689
2020-08-04,1340.000000,1375.000000,1323.099976,1340.000000,1282.994141,99575
2020-08-05,1350.000000,1374.000000,1340.000000,1350.000000,1292.568726,246909
2020-08-06,1340.000000,1365.000000,1315.199951,1340.000000,1282.994141,274453
2020-08-07,1316.000000,1360.000000,1311.000000,1316.000000,1260.015137,41373
2020-08-10,1317.000000,1340.000000,1310.000000,1317.000000,1260.972656,51381
2020-08-11,1361.000000,1361.000000,1317.000000,1361.000000,1303.100708,212102
2020-08-12,1379.000000,1390.000000,1362.000000,1379.000000,1320.334961,59228
2020-08-13,1325.000000,1383.000000,1325.000000,1325.000000,1268.632324,42639
2020-08-14,1335.000000,1374.900024,1306.000000,1335.000000,1278.206787,122438
2020-08-17,1339.699951,1367.800049,1335.000000,1339.699951,1282.706909,48688
2020-08-18,1324.000000,1375.000000,1315.000000,1324.000000,1267.674805,468894
2020-08-19,1304.000000,1331.000000,1303.000000,1304.000000,1248.525757,24443
2020-08-20,1297.000000,1312.000000,1280.000000,1297.000000,1241.823364,317882
2020-08-21,1295.000000,1300.000000,1290.000000,1295.000000,1239.908447,126039
2020-08-24,1275.000000,1326.000000,1269.900024,1275.000000,1220.759399,145282
2020-08-25,1235.000000,1280.000000,1230.000000,1235.000000,1182.461060,222254
2020-08-26,1210.000000,1240.000000,1202.000000,1210.000000,1158.524536,100598
2020-08-27,1225.000000,1235.099976,1210.000000,1225.000000,1172.886353,249836
2020-08-28,1240.000000,1245.000000,1229.099976,1240.000000,1187.248291,234561
2020-08-31,1205.000000,1279.000000,1199.800049,1205.000000,1153.737183,1076592
2020-09-01,1197.000000,1221.000000,1180.000000,1197.000000,1146.077637,270911
2020-09-02,1200.000000,1223.900024,1188.500000,1200.000000,1148.950073,191751
2020-09-03,1227.000000,1227.000000,1202.199951,1227.000000,1174.801392,42604
2020-09-04,1205.000000,1239.000000,1191.000000,1205.000000,1153.737183,115784
2020-09-07,1215.000000,1225.000000,1203.000000,1215.000000,1163.311890,256413
